1;,4;,1;,16;,5
2;,2;,3;,4;,4
3;,5;,3;,16;,1
4;,5;,3;,8;,2
5;,1;,5;,16;,4
6;,2;,2;,16;,5
7;,1;,4;,4;,5
8;,5;,1;,16;,1
9;,2;,5;,16;,4
10;,4;,3;,8;,5
11;,5;,5;,8;,5
12;,5;,4;,8;,5
13;,2;,3;,16;,1
14;,3;,4;,16;,1
15;,5;,4;,8;,3
16;,2;,2;,16;,2
17;,3;,3;,16;,2
18;,5;,1;,4;,2
19;,5;,3;,16;,4
20;,5;,3;,16;,4
21;,5;,2;,16;,3
22;,3;,3;,16;,4
23;,5;,3;,4;,5
24;,2;,2;,8;,1
25;,5;,2;,16;,4
26;,1;,2;,4;,2
27;,5;,5;,8;,1
28;,1;,3;,16;,5
29;,5;,1;,4;,1
30;,5;,5;,4;,4
31;,2;,3;,8;,2
32;,3;,3;,8;,1
33;,2;,1;,16;,2
34;,5;,1;,16;,3
35;,1;,2;,4;,2
36;,3;,3;,4;,3
37;,1;,4;,4;,3
38;,4;,1;,4;,2
39;,4;,3;,8;,5
40;,1;,5;,16;,4
41;,5;,5;,8;,5
42;,1;,1;,8;,3
43;,4;,5;,8;,1
44;,2;,2;,16;,2
45;,2;,3;,8;,1
46;,2;,5;,16;,4
47;,3;,3;,4;,4
48;,1;,1;,4;,2
49;,1;,2;,8;,2
50;,4;,3;,16;,5
51;,5;,5;,4;,5
52;,2;,5;,8;,5
53;,5;,3;,4;,3
54;,2;,2;,4;,4
55;,5;,3;,16;,5
56;,3;,3;,4;,2
57;,1;,3;,8;,1
58;,5;,2;,8;,2
59;,5;,1;,4;,4
60;,3;,1;,4;,4
61;,5;,1;,8;,4
62;,5;,5;,8;,1
63;,4;,5;,4;,1
64;,4;,5;,16;,3
65;,5;,2;,16;,2
66;,3;,2;,16;,5
67;,2;,4;,8;,2
68;,5;,5;,4;,5
69;,3;,2;,4;,4
70;,2;,4;,4;,1
71;,1;,2;,8;,4
72;,3;,1;,4;,3
73;,2;,5;,8;,3
74;,5;,1;,4;,4
75;,4;,4;,16;,3
76;,3;,5;,16;,2
77;,1;,2;,8;,5
78;,1;,3;,8;,5
79;,4;,2;,8;,5
80;,5;,2;,4;,5
81;,3;,3;,8;,2
82;,4;,2;,16;,1
83;,1;,4;,4;,5
84;,5;,2;,16;,5
85;,4;,2;,16;,5
86;,1;,1;,8;,1
87;,3;,5;,8;,1
88;,1;,1;,8;,2
89;,3;,4;,4;,2
90;,1;,3;,16;,3
91;,4;,5;,4;,2
92;,1;,5;,8;,3
93;,5;,3;,4;,5
94;,1;,4;,8;,5
95;,2;,2;,16;,5
96;,5;,5;,8;,5
97;,3;,1;,16;,2
98;,5;,4;,8;,2
99;,1;,3;,16;,2
100;,2;,4;,16;,1
101;,2;,3;,8;,1
102;,1;,1;,16;,5
103;,5;,5;,8;,2
104;,4;,3;,4;,1
105;,5;,2;,16;,4
106;,2;,1;,4;,2
107;,2;,2;,8;,4
108;,3;,5;,4;,1
109;,5;,5;,4;,5
110;,3;,2;,16;,4
111;,4;,3;,8;,5
112;,2;,4;,4;,2
113;,5;,1;,8;,2
114;,2;,4;,4;,2
115;,3;,4;,8;,1
116;,5;,5;,4;,1
117;,2;,2;,4;,1
118;,1;,4;,8;,1
119;,2;,2;,4;,3
120;,1;,5;,16;,3
121;,2;,2;,4;,1
122;,2;,4;,16;,2
123;,1;,1;,16;,5
124;,3;,4;,4;,2
125;,1;,3;,4;,1
126;,2;,3;,8;,4
127;,1;,1;,8;,3
128;,3;,3;,8;,3
129;,2;,3;,16;,5
130;,2;,2;,8;,3
131;,3;,3;,16;,3
132;,2;,3;,16;,4
133;,1;,2;,4;,2
134;,4;,2;,16;,1
135;,4;,4;,8;,4
136;,2;,1;,16;,5
137;,1;,2;,4;,2
138;,4;,2;,8;,1
139;,3;,5;,8;,2
140;,1;,5;,4;,2
141;,3;,4;,4;,1
142;,2;,1;,8;,1
143;,2;,5;,16;,5
144;,3;,1;,8;,4
145;,2;,3;,16;,2
146;,4;,5;,8;,1
147;,5;,5;,4;,4
148;,1;,2;,8;,2
149;,4;,3;,8;,2
150;,1;,1;,4;,3
151;,4;,2;,8;,3
152;,1;,3;,16;,2
153;,5;,4;,8;,5
154;,3;,2;,16;,1
155;,3;,5;,8;,2
156;,3;,1;,4;,1
157;,5;,2;,16;,1
158;,3;,4;,4;,5
159;,2;,2;,4;,1
160;,2;,3;,8;,3
161;,1;,5;,8;,2
162;,2;,1;,8;,1
163;,1;,2;,16;,2
164;,5;,5;,4;,4
165;,3;,4;,8;,4
166;,3;,5;,16;,3
167;,1;,4;,4;,1
168;,3;,3;,4;,4
169;,2;,4;,16;,5
170;,5;,3;,16;,2
171;,5;,1;,16;,2
172;,4;,1;,8;,5
173;,5;,1;,16;,5
174;,5;,4;,8;,1
175;,2;,2;,8;,5
176;,2;,4;,16;,1
177;,1;,2;,4;,5
178;,5;,3;,4;,4
179;,1;,5;,4;,5
180;,4;,2;,8;,2
181;,3;,3;,8;,1
182;,5;,5;,16;,2
183;,4;,1;,4;,2
184;,4;,1;,16;,3
185;,1;,5;,4;,4
186;,3;,4;,16;,4
187;,3;,5;,8;,2
188;,5;,2;,4;,4
189;,3;,3;,4;,5
190;,5;,3;,16;,3
191;,3;,1;,8;,4
192;,5;,1;,8;,4
193;,4;,2;,4;,5
194;,4;,1;,16;,4
195;,1;,4;,4;,5
196;,2;,1;,16;,5
197;,3;,1;,8;,4
198;,5;,5;,16;,4
199;,3;,2;,8;,5
200;,2;,1;,8;,5
201;,2;,3;,8;,4
202;,3;,1;,16;,2
203;,5;,5;,4;,5
204;,2;,4;,4;,5
205;,3;,1;,16;,5
206;,2;,2;,8;,3
207;,5;,4;,8;,4
208;,3;,3;,8;,4
209;,3;,1;,8;,3
210;,5;,1;,4;,4
211;,1;,1;,16;,3
212;,2;,5;,4;,1
213;,1;,4;,16;,1
214;,3;,4;,8;,1
215;,2;,1;,16;,4
216;,2;,1;,4;,2
217;,1;,3;,4;,2
218;,1;,5;,8;,1
219;,4;,1;,8;,3
220;,1;,1;,4;,4
221;,3;,4;,4;,4
222;,1;,4;,4;,1
223;,4;,3;,16;,1
224;,2;,4;,4;,1
225;,5;,1;,4;,4
226;,5;,3;,16;,1
227;,1;,3;,16;,4
228;,3;,3;,16;,3
229;,3;,5;,8;,1
230;,2;,4;,4;,5
231;,5;,5;,16;,4
232;,3;,3;,4;,4
233;,5;,3;,4;,1
234;,3;,5;,4;,5
235;,1;,5;,16;,3
236;,3;,5;,8;,4
237;,2;,5;,4;,1
238;,4;,4;,8;,3
239;,2;,5;,4;,1
240;,3;,5;,8;,3
241;,3;,2;,4;,5
242;,2;,5;,16;,5
243;,2;,2;,4;,2
244;,4;,1;,16;,5
245;,3;,2;,16;,4
246;,5;,5;,8;,2
247;,3;,1;,16;,1
248;,3;,4;,16;,2
249;,2;,1;,16;,3
250;,2;,4;,16;,4
251;,3;,5;,8;,1
252;,2;,1;,4;,1
253;,2;,2;,8;,4
254;,2;,3;,4;,4
255;,5;,4;,16;,2
256;,5;,5;,8;,4
257;,4;,5;,4;,2
258;,4;,5;,8;,1
259;,3;,4;,16;,2
260;,3;,4;,8;,2
261;,5;,1;,8;,2
262;,2;,4;,4;,1
263;,4;,4;,16;,2
264;,4;,1;,16;,2
265;,5;,4;,16;,5
266;,4;,2;,8;,4
267;,2;,1;,4;,5
268;,1;,2;,4;,3
269;,1;,5;,16;,3
270;,5;,5;,4;,1
271;,5;,3;,4;,5
272;,4;,1;,4;,5
273;,3;,4;,8;,3
274;,1;,3;,8;,2
275;,1;,4;,4;,2
276;,1;,4;,4;,4
277;,5;,4;,16;,2
278;,5;,4;,4;,2
279;,2;,3;,8;,4
280;,2;,5;,16;,3
281;,2;,4;,16;,3
282;,2;,2;,16;,5
283;,2;,1;,16;,3
284;,5;,5;,8;,2
285;,4;,4;,16;,4
286;,4;,3;,16;,5
287;,4;,3;,8;,5
288;,1;,2;,16;,4
289;,5;,4;,4;,5
290;,4;,4;,16;,3
291;,5;,3;,4;,3
292;,2;,2;,8;,4
293;,2;,5;,16;,2
294;,3;,2;,4;,3
295;,5;,3;,16;,5
296;,2;,3;,4;,2
297;,4;,4;,4;,5
298;,3;,4;,8;,5
299;,5;,3;,8;,4
300;,1;,5;,8;,1
301;,1;,4;,8;,5
302;,4;,2;,4;,5
303;,5;,3;,8;,4
304;,2;,5;,16;,3
305;,2;,5;,4;,2
306;,2;,3;,8;,1
307;,5;,2;,4;,1
308;,4;,2;,16;,1
309;,4;,2;,16;,1
310;,2;,1;,8;,4
311;,4;,4;,4;,1
312;,2;,5;,4;,4
313;,5;,2;,4;,5
314;,2;,2;,16;,2
315;,5;,2;,16;,3
316;,5;,3;,4;,2
317;,1;,4;,16;,5
318;,4;,1;,16;,1
319;,4;,2;,8;,1
320;,4;,3;,16;,4
321;,3;,5;,4;,5
322;,2;,4;,4;,5
323;,1;,2;,8;,1
324;,3;,3;,8;,1
325;,3;,1;,8;,2
326;,5;,1;,16;,3
327;,5;,1;,8;,4
328;,1;,4;,4;,3
329;,3;,1;,4;,4
330;,5;,1;,16;,4
331;,3;,2;,8;,1
332;,3;,5;,4;,4
333;,5;,2;,16;,5
334;,2;,5;,4;,1
335;,2;,3;,4;,2
336;,5;,5;,4;,1
337;,3;,4;,8;,1
338;,3;,4;,8;,5
339;,4;,1;,8;,3
340;,2;,2;,4;,2
341;,3;,3;,16;,4
342;,2;,3;,8;,3
343;,1;,4;,8;,5
344;,2;,4;,4;,5
345;,1;,5;,16;,3
346;,1;,3;,8;,2
347;,1;,5;,8;,3
348;,3;,5;,16;,2
349;,2;,3;,16;,2
350;,1;,5;,4;,5
351;,4;,3;,16;,3
352;,4;,3;,8;,5
353;,5;,4;,4;,4
354;,1;,4;,4;,2
355;,4;,2;,4;,3
356;,4;,1;,4;,5
357;,4;,4;,4;,4
358;,3;,4;,8;,2
359;,3;,4;,8;,3
360;,3;,4;,4;,1
361;,2;,5;,4;,5
362;,5;,3;,4;,5
363;,1;,1;,8;,3
364;,1;,5;,4;,2
365;,3;,3;,4;,1
366;,5;,1;,4;,2
367;,5;,2;,8;,5
368;,1;,5;,16;,1
369;,5;,2;,8;,3
370;,3;,1;,16;,1
371;,3;,1;,8;,3
372;,4;,4;,4;,3
373;,2;,5;,16;,2
374;,4;,3;,16;,3
375;,5;,2;,4;,3
376;,4;,1;,4;,2
377;,5;,4;,8;,2
378;,4;,3;,16;,2
379;,2;,4;,4;,5
380;,5;,5;,4;,5
381;,2;,3;,4;,2
382;,4;,3;,4;,1
383;,3;,2;,16;,1
384;,3;,5;,4;,5
385;,1;,2;,8;,1
386;,2;,5;,8;,4
387;,2;,4;,16;,3
388;,2;,2;,4;,2
389;,2;,2;,8;,4
390;,2;,1;,16;,5
391;,1;,4;,4;,4
392;,5;,4;,8;,5
393;,5;,4;,8;,2
394;,4;,3;,8;,1
395;,2;,5;,8;,5
396;,4;,2;,16;,3
397;,3;,2;,16;,3
398;,3;,2;,8;,4
399;,4;,3;,4;,4
400;,3;,1;,4;,1
401;,4;,3;,4;,3
402;,4;,2;,16;,1
403;,1;,4;,4;,4
404;,3;,4;,4;,1
405;,5;,1;,8;,3
406;,3;,4;,4;,1
407;,3;,2;,16;,2
408;,5;,3;,8;,1
409;,1;,5;,8;,4
410;,3;,2;,4;,3
411;,5;,1;,4;,2
412;,2;,5;,16;,4
413;,5;,3;,16;,1
414;,4;,5;,8;,2
415;,4;,1;,16;,5
416;,3;,2;,16;,1
417;,4;,5;,16;,4
418;,5;,1;,4;,2
419;,1;,3;,4;,2
420;,3;,4;,4;,1
421;,3;,5;,16;,5
422;,4;,1;,8;,3
423;,4;,3;,4;,5
424;,3;,1;,4;,4
425;,2;,4;,4;,1
426;,3;,1;,4;,5
427;,1;,4;,16;,1
428;,1;,1;,16;,1
429;,2;,2;,8;,4
430;,1;,5;,8;,4
431;,2;,4;,8;,3
432;,4;,5;,8;,2
433;,5;,2;,4;,3
434;,4;,4;,16;,1
435;,4;,1;,8;,3
436;,1;,4;,4;,5
437;,4;,3;,4;,3
438;,2;,2;,4;,4
439;,2;,5;,4;,3
440;,3;,1;,16;,1
441;,2;,1;,4;,2
442;,2;,2;,4;,1
443;,3;,2;,8;,5
444;,4;,5;,4;,4
445;,1;,4;,8;,5
446;,3;,4;,4;,1
447;,5;,1;,4;,1
448;,5;,1;,4;,1
449;,5;,1;,4;,1
450;,4;,1;,4;,1
451;,2;,1;,4;,1
452;,5;,1;,4;,1
453;,3;,1;,4;,1
454;,1;,1;,4;,1
455;,2;,1;,4;,1
456;,1;,1;,4;,1
457;,4;,1;,4;,1
458;,1;,1;,4;,1
459;,4;,1;,4;,1
460;,3;,1;,4;,1
461;,5;,1;,4;,1
462;,5;,1;,4;,1
463;,2;,1;,4;,1
464;,4;,1;,4;,1
465;,2;,1;,4;,1
466;,4;,1;,4;,1
467;,3;,1;,4;,1
468;,4;,1;,4;,1
469;,1;,1;,4;,1
470;,3;,1;,4;,1
471;,5;,1;,4;,1
472;,3;,1;,4;,1
473;,4;,1;,4;,1
474;,2;,1;,4;,1
475;,4;,1;,4;,1
476;,5;,1;,4;,1
477;,4;,1;,4;,1
478;,2;,1;,4;,1
479;,2;,1;,4;,1
480;,5;,1;,4;,1
481;,2;,1;,4;,1
482;,5;,1;,4;,1
483;,3;,1;,4;,1
484;,2;,1;,4;,1
485;,4;,1;,4;,1
486;,2;,1;,4;,1
487;,5;,1;,4;,1
488;,4;,1;,4;,1
489;,2;,1;,4;,1
490;,3;,1;,4;,1
491;,5;,1;,4;,1
492;,4;,1;,4;,1
493;,3;,1;,4;,1
494;,3;,1;,4;,1
495;,1;,1;,4;,1
496;,2;,1;,4;,1
497;,4;,1;,4;,1
498;,3;,1;,4;,1
499;,5;,1;,4;,1
500;,1;,1;,4;,1
